airport,operation_category,ops_scenario,feasibility_scenario,adoption_scenario,operation_category_short,label,color
MWH,Itinerant General Aviation,Low,Medium,Fast,ItinGA,MWH_ItinGA_ops=Low_feasibility=Medium_adoption=Fast,
MWH,Itinerant General Aviation,Low,Fast,Slow,ItinGA,MWH_ItinGA_ops=Low_feasibility=Fast_adoption=Slow,
MWH,Itinerant General Aviation,Low,Fast,Medium,ItinGA,MWH_ItinGA_ops=Low_feasibility=Fast_adoption=Medium,
MWH,Itinerant General Aviation,Low,Fast,Fast,ItinGA,MWH_ItinGA_ops=Low_feasibility=Fast_adoption=Fast,
MWH,Itinerant General Aviation,Medium,Slow,Slow,ItinGA,MWH_ItinGA_ops=Medium_feasibility=Slow_adoption=Slow,
MWH,Itinerant General Aviation,Medium,Slow,Medium,ItinGA,MWH_ItinGA_ops=Medium_feasibility=Slow_adoption=Medium,
MWH,Itinerant General Aviation,Medium,Slow,Fast,ItinGA,MWH_ItinGA_ops=Medium_feasibility=Slow_adoption=Fast,
MWH,Itinerant General Aviation,Medium,Medium,Slow,ItinGA,MWH_ItinGA_ops=Medium_feasibility=Medium_adoption=Slow,
MWH,Itinerant General Aviation,Medium,Medium,Medium,ItinGA,MWH_ItinGA_ops=Medium_feasibility=Medium_adoption=Medium,
MWH,Itinerant General Aviation,Medium,Medium,Fast,ItinGA,MWH_ItinGA_ops=Medium_feasibility=Medium_adoption=Fast,
MWH,Itinerant General Aviation,Medium,Fast,Slow,ItinGA,MWH_ItinGA_ops=Medium_feasibility=Fast_adoption=Slow,
MWH,Itinerant General Aviation,Medium,Fast,Medium,ItinGA,MWH_ItinGA_ops=Medium_feasibility=Fast_adoption=Medium,
MWH,Itinerant General Aviation,Medium,Fast,Fast,ItinGA,MWH_ItinGA_ops=Medium_feasibility=Fast_adoption=Fast,
MWH,Itinerant General Aviation,High,Slow,Slow,ItinGA,MWH_ItinGA_ops=High_feasibility=Slow_adoption=Slow,
MWH,Itinerant General Aviation,High,Slow,Medium,ItinGA,MWH_ItinGA_ops=High_feasibility=Slow_adoption=Medium,
MWH,Itinerant General Aviation,High,Slow,Fast,ItinGA,MWH_ItinGA_ops=High_feasibility=Slow_adoption=Fast,
MWH,Itinerant General Aviation,High,Medium,Slow,ItinGA,MWH_ItinGA_ops=High_feasibility=Medium_adoption=Slow,
MWH,Itinerant General Aviation,High,Medium,Medium,ItinGA,MWH_ItinGA_ops=High_feasibility=Medium_adoption=Medium,
MWH,Itinerant General Aviation,High,Medium,Fast,ItinGA,MWH_ItinGA_ops=High_feasibility=Medium_adoption=Fast,
MWH,Itinerant General Aviation,High,Fast,Slow,ItinGA,MWH_ItinGA_ops=High_feasibility=Fast_adoption=Slow,
MWH,Itinerant General Aviation,High,Fast,Medium,ItinGA,MWH_ItinGA_ops=High_feasibility=Fast_adoption=Medium,
MWH,Itinerant General Aviation,High,Fast,Fast,ItinGA,MWH_ItinGA_ops=High_feasibility=Fast_adoption=Fast,
MWH,Itinerant Air Taxi,Low,Slow,Slow,ItinAirTaxi,MWH_ItinAirTaxi_ops=Low_feasibility=Slow_adoption=Slow,
MWH,Itinerant Air Taxi,Low,Slow,Medium,ItinAirTaxi,MWH_ItinAirTaxi_ops=Low_feasibility=Slow_adoption=Medium,
MWH,Itinerant Air Taxi,Low,Slow,Fast,ItinAirTaxi,MWH_ItinAirTaxi_ops=Low_feasibility=Slow_adoption=Fast,
MWH,Itinerant Air Taxi,Low,Medium,Slow,ItinAirTaxi,MWH_ItinAirTaxi_ops=Low_feasibility=Medium_adoption=Slow,
MWH,Itinerant Air Taxi,Low,Medium,Medium,ItinAirTaxi,MWH_ItinAirTaxi_ops=Low_feasibility=Medium_adoption=Medium,
MWH,Itinerant Air Taxi,Low,Medium,Fast,ItinAirTaxi,MWH_ItinAirTaxi_ops=Low_feasibility=Medium_adoption=Fast,
MWH,Itinerant Air Taxi,Low,Fast,Slow,ItinAirTaxi,MWH_ItinAirTaxi_ops=Low_feasibility=Fast_adoption=Slow,
MWH,Itinerant Air Taxi,Low,Fast,Medium,ItinAirTaxi,MWH_ItinAirTaxi_ops=Low_feasibility=Fast_adoption=Medium,
MWH,Itinerant Air Taxi,Low,Fast,Fast,ItinAirTaxi,MWH_ItinAirTaxi_ops=Low_feasibility=Fast_adoption=Fast,
MWH,Itinerant Air Taxi,Medium,Slow,Slow,ItinAirTaxi,MWH_ItinAirTaxi_ops=Medium_feasibility=Slow_adoption=Slow,
MWH,Itinerant Air Taxi,Medium,Slow,Medium,ItinAirTaxi,MWH_ItinAirTaxi_ops=Medium_feasibility=Slow_adoption=Medium,
MWH,Itinerant Air Taxi,Medium,Slow,Fast,ItinAirTaxi,MWH_ItinAirTaxi_ops=Medium_feasibility=Slow_adoption=Fast,
MWH,Itinerant Air Taxi,Medium,Medium,Slow,ItinAirTaxi,MWH_ItinAirTaxi_ops=Medium_feasibility=Medium_adoption=Slow,
